"Campaign name","Ad Set Name",Ads,"Ad name",Objective,Day,Gender,Age,"Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (USD)",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases",Objective,"Reporting starts","Reporting ends"
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-03,unknown,35-44,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0.01,1,10,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,male,65+,not_delivering,ad,"7-day click or 1-day view","Link clicks",2,95,1.10526316,0.42,0.84,105,8,2,0.42,1.9047619,1,0.95238095,0.84,2,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,unknown,65+,not_delivering,ad,"7-day click or 1-day view","Link clicks",1,11,1,0.07,0.07,11,6.36363636,1,0.07,9.09090909,1,9.09090909,0.07,1,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,female,55-64,not_delivering,ad,"7-day click or 1-day view","Link clicks",3,294,1.08503401,0.55666667,1.67,319,5.23510972,3,0.55666667,0.94043887,4,1.2539185,0.4175,2,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group B",JPWPUnboxing_PQ_V1,JPWPUnboxing_PQ_V1,LINK_CLICKS,2024-12-03,female,55-64,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0,1,0,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-03,male,35-44,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0,1,0,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-03,female,25-34,not_delivering,ad,"7-day click or 1-day view",,,2,1.5,,0.04,3,13.33333333,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-03,male,45-54,not_delivering,ad,"7-day click or 1-day view",,,9,1,,0.1,9,11.11111111,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-03,male,25-34,not_delivering,ad,"7-day click or 1-day view","Link clicks",1,2,1,0.01,0.01,2,5,1,0.01,50,1,50,0.01,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,male,35-44,not_delivering,ad,"7-day click or 1-day view",,,8,1.125,,0.01,9,1.11111111,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
